Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Power (dB)	Begin Date	Delta Time (s)	Begin File	Begin Path	Center Freq (Hz)	Delta Freq (Hz)	Notes
28	Spectrogram 1	1	61.252516667	117.198261104	756.1	935.3	818.3	882.9	47.6		55.946	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	861.3	179.2	INSB_12
29	Spectrogram 1	1	65.990526317	91.566342726	703.7	834.8	753.7	796.7	45.2		25.576	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	775.2	131.1	COSB_s
30	Spectrogram 1	1	104.284902050	109.955605607	449.4	625.3	516.8	559.9	48.3		5.671	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	538.3	175.9	BIKE_S
31	Spectrogram 1	1	65.566740740	74.021228239	2027.9	5384.5	3531.4	4392.8	64.0		8.454	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3789.8	3356.6	ORHT_s
32	Spectrogram 1	1	72.107661110	89.782062959	2063.7	4983.2	3294.6	4457.4	58.8		17.674	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3832.9	2919.5	BNMF_s
33	Spectrogram 1	1	74.901863123	87.579028627	3531.4	8181.7	4801.9	6115.4	60.6		12.677	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5297.2	4650.3	INYT_5
34	Spectrogram 1	1	74.121874339	74.678548413	2324.0	5192.0	3186.9	4134.4	54.6		0.557	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3509.9	2868.0	AFBB_1
35	Spectrogram 1	1	82.454590288	82.959076167	2101.5	5117.8	3230.0	3789.8	56.7		0.504	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3488.4	3016.3	AFBB_1
36	Spectrogram 1	1	85.347516356	85.852002236	1188.8	4125.8	2691.7	3251.5	55.6		0.504	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2885.4	2937.0	AFBB_1
37	Spectrogram 1	1	87.782965430	88.183074920	1853.1	3531.4	2691.7	3230.0	55.4		0.400	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3014.6	1678.3	UNID_1
38	Spectrogram 1	1	88.704956865	90.896861031	629.4	1888.1	1335.1	1442.7	55.8		2.192	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1399.7	1258.7	GRJF_1
39	Spectrogram 1	1	97.159303141	97.646392956	1888.1	5174.8	2584.0	4177.4	57.5		0.487	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2885.4	3286.7	AFBB_1
40	Spectrogram 1	1	90.026916568	102.882608465	1503.5	4860.1	2584.0	3122.3	59.6		12.856	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2670.1	3356.6	ORHT_s
41	Spectrogram 1	1	110.555884334	111.060370214	1433.5	5209.7	3100.8	3725.2	54.1		0.504	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3466.8	3776.2	AFBB_1
42	Spectrogram 1	1	113.217482250	113.861136649	1153.8	3811.1	2519.4	3122.3	54.2		0.644	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2863.9	2657.3	AFBB_1
43	Spectrogram 1	1	117.218577157	117.636082713	1643.3	5384.5	3660.6	4177.4	57.6		0.418	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	4005.2	3741.2	AFBB_1
44	Spectrogram 1	1	119.114748222	119.741006555	1223.8	4020.9	3380.7	3832.9	60.4		0.626	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3725.2	2797.1	AFBB_1
45	Spectrogram 1	1	103.858399381	127.490169972	1188.8	8950.9	3402.2	6589.2	57.5		23.632	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	4220.5	7762.1	FLTB_s
46	Spectrogram 1	1	119.636324999	142.320793515	236.0	533.2	323.0	366.1	51.7		22.684	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	344.5	297.2	GRCO_1
49	Spectrogram 1	1	153.593443513	158.533925920	218.5	542.0	344.5	409.1	53.0		4.940	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	323.5	GRCO_1
50	Spectrogram 1	1	118.801313888	173.564125918	708.0	961.5	818.3	882.9	45.5		54.763	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	839.8	253.5	INSB_s
51	Spectrogram 1	1	153.106353699	173.772878696	970.3	1337.4	1098.2	1184.3	45.0		20.667	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1141.3	367.1	WHCB_s
52	Spectrogram 1	1	120.288199139	121.505923676	4615.3	7482.4	5060.3	5835.5	48.1		1.218	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5426.4	2867.1	PBFL_S
53	Spectrogram 1	1	121.167178703	122.036981943	1153.8	3881.1	2497.9	3100.8	52.5		0.870	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2863.9	2727.3	AFBB_1
54	Spectrogram 1	1	124.777246276	125.542673128	1014.0	4195.8	2433.3	3186.9	52.6		0.765	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2863.9	3181.8	AFBB_1
55	Spectrogram 1	1	126.969150443	127.873745813	1083.9	3951.0	2454.8	3079.2	52.3		0.905	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2842.4	2867.1	AFBB_1
57	Spectrogram 1	1	134.100674600	134.379011637	1608.4	5209.7	3057.7	3854.4	56.2		0.278	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3445.3	3601.3	AFBB_1
58	Spectrogram 1	1	137.545095433	137.927808859	1398.6	5104.8	2907.0	3725.2	50.4		0.383	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3294.6	3706.2	AFBB_1
59	Spectrogram 1	1	140.572873126	141.129547200	1363.6	5244.7	2993.1	3854.4	52.7		0.557	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3445.3	3881.1	AFBB_1
60	Spectrogram 1	1	145.061057848	145.617731922	1468.5	5069.9	2863.9	3553.0	52.4		0.557	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3316.1	3601.4	AFBB_1
61	Spectrogram 1	1	128.654503796	144.856539709	1713.3	4370.6	2562.5	3208.4	62.9		16.202	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2713.2	2657.3	ORHTD_s
62	Spectrogram 1	1	146.069167192	147.078138951	1083.9	10314.6	5534.0	6072.4	59.3		1.009	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5814.0	9230.7	UNID_1
63	Spectrogram 1	1	147.426060247	148.574200525	1608.4	3916.0	2390.2	3014.6	54.7		1.148	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2756.2	2307.6	ORHT_1
64	Spectrogram 1	1	150.711787141	151.512006122	979.0	4440.5	2497.9	3445.3	51.6		0.800	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2928.5	3461.5	AFBB_1
65	Spectrogram 1	1	151.581590381	153.529949640	1783.2	5069.9	2497.9	3832.9	43.2		1.948	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3057.7	3286.7	UNID_1
66	Spectrogram 1	1	153.843078807	154.608505659	1223.8	4405.5	2605.5	3337.6	51.0		0.765	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2993.1	3181.7	AFBB_1
69	Spectrogram 1	1	154.782466307	156.591657047	1363.6	4860.1	2670.1	3079.2	49.3		1.809	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2907.0	3496.5	UNID_1
70	Spectrogram 1	1	156.974370473	157.635420936	1398.6	3531.4	2282.5	2885.4	54.3		0.661	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2670.1	2132.8	AFBB_1
71	Spectrogram 1	1	159.942106620	162.725476990	1433.5	4230.7	2411.7	3445.3	49.8		2.783	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3014.6	2797.2	AFBB_1
72	Spectrogram 1	1	163.212566804	165.611095756	1818.2	6713.2	3509.9	4866.5	46.4		2.399	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	4134.4	4895.0	UNID_1
73	Spectrogram 1	1	167.979088563	168.431386248	1398.6	3391.6	2282.5	2885.4	58.6		0.452	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2584.0	1993.0	AFBB_1
74	Spectrogram 1	1	168.605346896	171.852750066	1923.1	4230.7	2928.5	3445.3	52.5		3.247	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3057.7	2307.6	UNID_1
75	Spectrogram 1	1	172.467273285	173.232700137	1398.6	3671.3	2282.5	2885.4	56.1		0.765	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2519.4	2272.7	AFBB_1
76	Spectrogram 1	1	172.046674409	176.952364686	234.9	537.7	344.5	409.1	54.0		4.906	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	302.8	GRCO_1
77	Spectrogram 1	1	188.955649407	193.200289221	228.7	543.9	344.5	409.1	54.2		4.245	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	315.2	GRCO_1
78	Spectrogram 1	1	204.498395723	215.979798499	234.9	519.2	323.0	387.6	53.4		11.481	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	366.1	284.3	GRCO_1
79	Spectrogram 1	1	174.838783299	227.843914701	717.0	988.9	818.3	882.9	46.5		53.005	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	861.3	271.9	INSB_S
80	Spectrogram 1	1	218.800007317	222.870686483	389.4	686.1	495.3	559.9	47.6		4.071	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	516.8	296.7	BIKE_1
84	Spectrogram 1	1	173.323195833	175.306347221	1409.3	3832.2	2734.7	3014.6	53.1		1.983	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2907.0	2422.9	UNID_1
85	Spectrogram 1	1	175.233723989	185.808335214	1993.0	4195.8	2734.7	3100.8	73.4		10.575	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2820.8	2202.8	PUTB_1
87	Spectrogram 1	1	176.906785184	177.846172684	1359.8	4450.3	2777.8	2993.1	75.7		0.939	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2842.4	3090.5	PUTB_1
88	Spectrogram 1	1	180.003284721	180.873087961	1409.3	4227.8	2734.7	3251.5	69.7		0.870	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3079.2	2818.5	PUTB_1
89	Spectrogram 1	1	188.492564349	189.327575460	1162.0	3560.2	2282.5	2885.4	56.5		0.835	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2540.9	2398.2	AFBB_1
90	Spectrogram 1	1	189.884249534	195.346613885	2027.9	4104.1	2756.2	3100.8	68.1		5.462	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2885.4	2076.2	PUTB_1
91	Spectrogram 1	1	195.567823904	200.588054997	2027.9	4598.6	2756.2	3574.5	54.6		5.020	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3079.2	2570.7	UNID_S
92	Spectrogram 1	1	201.739189414	202.317497052	1532.9	4203.0	2691.7	3186.9	58.1		0.578	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2842.4	2670.1	AFBB_1
93	Spectrogram 1	1	203.637491502	204.194165576	1063.1	4079.4	2433.3	3208.4	55.9		0.557	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2885.4	3016.3	AFBB_1
94	Spectrogram 1	1	204.749215290	214.177882419	1804.8	3980.5	2691.7	3079.2	65.0		9.429	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2799.3	2175.7	PUTB_s
95	Spectrogram 1	1	205.516266502	206.733991039	1458.7	4178.3	2713.2	2993.1	66.7		1.218	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2799.3	2719.6	AFBB_1
96	Spectrogram 1	1	212.159938900	212.961782242	1359.8	3832.2	2497.9	2777.8	63.1		0.802	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2670.1	2472.4	AFBB_1
97	Spectrogram 1	1	168.139168519	227.334385309	5431.9	5561.7	5469.4	5534.0	44.9		59.195	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5491.0	129.8	INSECT_s
98	Spectrogram 1	1	216.320164935	217.189968176	1223.8	3986.0	2325.6	2928.5	55.4		0.870	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2691.7	2762.2	AFBB_1
99	Spectrogram 1	1	217.900640289	218.457314363	1223.8	4265.7	2497.9	3186.9	55.6		0.557	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2907.0	3041.9	AFBB_1
100	Spectrogram 1	1	220.544842140	221.414645381	1398.6	3741.2	2261.0	3423.8	54.5		0.870	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2950.0	2342.6	AFBB_1
101	Spectrogram 1	1	222.562785658	223.119459732	1223.8	4230.7	2497.9	3143.8	54.0		0.557	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2842.4	3006.9	AFBB_1
102	Spectrogram 1	1	224.119151314	227.509149907	3811.1	5314.6	4500.4	4909.6	47.3		3.390	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	4715.8	1503.5	INYT_s
103	Spectrogram 1	1	226.380639739	227.335189259	1153.8	3286.7	2304.1	2928.5	55.7		0.955	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2605.5	2132.9	AFBB_1
104	Spectrogram 1	1	229.167178703	233.203065739	1573.4	4195.8	2670.1	3079.2	61.0		4.036	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2799.3	2622.4	PUTB_1
105	Spectrogram 1	1	233.854939879	235.107456546	1748.2	4230.7	2562.5	3316.1	54.5		1.253	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3036.2	2482.5	AFBB_1
106	Spectrogram 1	1	230.696977367	279.273909689	732.8	938.0	818.3	882.9	47.4		48.577	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	839.8	205.2	INSB_s
107	Spectrogram 1	1	256.099060445	258.706846028	576.9	944.0	732.1	839.8	47.2		2.608	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	796.7	367.1	INSB_1
108	Spectrogram 1	1	264.414452212	277.354973127	209.8	524.5	301.5	366.1	47.6		12.941	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	323.0	314.7	TRAIN_2
109	Spectrogram 1	1	244.219468184	279.596785820	1048.9	1993.0	1378.1	1679.6	50.3		35.377	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1442.7	944.1	YBBU_9
110	Spectrogram 1	1	236.359973212	241.822337563	1608.4	4475.5	2713.2	3359.2	55.5		5.462	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3165.4	2867.1	AFBB_1
111	Spectrogram 1	1	241.737807608	244.591610699	1923.1	3251.7	2627.1	2863.9	66.6		2.854	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2756.2	1328.6	PUTB_2
